Record number,Origin of data,Subject number,Ethnicity,Gender,Age group,Body location,L,a,b
295,1,33,CA,F,,11,59.8691,12.3820,13.9363
296,1,33,CA,F,,10,61.7001,8.4257,18.7327
297,1,33,CA,F,,7,66.0310,5.8228,13.6251
298,1,34,CA,F,,6,60.4827,15.2568,18.9615
299,1,34,CA,F,,9,64.0598,11.1034,19.9399
300,1,34,CA,F,,2,58.5290,16.1334,18.6967
301,1,34,CA,F,,5,54.0672,14.0922,15.2459
302,1,34,CA,F,,4,62.8560,14.6082,18.1355
303,1,34,CA,F,,1,63.9506,5.4889,15.5643
304,1,34,CA,F,,11,61.3409,11.7315,17.1775
305,1,34,CA,F,,10,60.4353,7.9449,20.7377
306,1,34,CA,F,,7,66.0800,5.1295,14.3025
307,1,35,CA,F,,6,61.8573,10.8691,17.3420
308,1,35,CA,F,,9,62.2332,10.2043,15.6297
309,1,35,CA,F,,2,63.1276,12.7458,18.3194
310,1,35,CA,F,,5,60.1475,18.8125,14.5242
311,1,35,CA,F,,4,61.5304,13.9387,15.3570
312,1,35,CA,F,,1,61.6406,8.5606,18.8862
313,1,35,CA,F,,11,63.0937,8.6871,12.6831
314,1,35,CA,F,,10,56.7836,9.0265,19.8786
315,1,35,CA,F,,7,56.6412,8.4286,17.6144
316,1,36,CA,F,,6,67.0661,9.0636,14.5231
317,1,36,CA,F,,9,58.3887,12.0321,13.0202
318,1,36,CA,F,,2,64.7308,12.4388,12.7455
319,1,36,CA,F,,5,44.2985,12.2028,12.3377
320,1,36,CA,F,,4,61.7773,17.3681,10.2415
321,1,36,CA,F,,1,63.3709,10.0643,11.5805
322,1,36,CA,F,,11,63.4491,8.9552,10.8793
323,1,36,CA,F,,10,63.8805,7.9366,11.8529
324,1,36,CA,F,,7,69.6204,4.6291,10.1200
325,1,37,CA,F,,6,62.5823,8.8532,15.7105
326,1,37,CA,F,,9,62.5035,10.6372,15.0240
327,1,37,CA,F,,2,65.4015,6.9902,17.0334
328,1,37,CA,F,,4,61.6817,12.4042,15.3770
